link_id, from_tile_id, from_pos_idx, to_tile_id, to_pos_idx, control_radius_percent, color, ref_color, opacity
l1555,tile5,179,tile6,163,0.3, ,c5,0.1
l1556,tile6,163,tile9,182,0.3, ,c6,0.1
l1557,tile9,182,tile4,167,0.3, ,c9,0.1
l1558,tile4,167,tile8,169,0.3, ,c4,0.1
l1559,tile8,169,tile5,180,0.3, ,c8,0.1
l1560,tile5,181,tile6,164,0.3, ,c5,0.1
l1561,tile6,164,tile2,174,0.3, ,c6,0.1
l1562,tile2,174,tile0,156,0.3, ,c2,0.1
l1563,tile0,156,tile9,183,0.3, ,c0,0.1
l1564,tile9,184,tile2,175,0.3, ,c9,0.1
l1565,tile2,175,tile1,190,0.3, ,c2,0.1
l1566,tile1,190,tile9,185,0.3, ,c1,0.1
l1567,tile9,185,tile2,176,0.3, ,c9,0.1
l1568,tile2,178,tile1,191,0.3, ,c2,0.1
l1569,tile1,191,tile8,170,0.3, ,c1,0.1
l1570,tile8,170,tile4,168,0.3, ,c8,0.1
l1571,tile4,168,tile2,179,0.3, ,c4,0.1
l1572,tile2,179,tile7,170,0.3, ,c2,0.1
l1573,tile7,170,tile2,180,0.3, ,c7,0.1
l1574,tile2,180,tile5,182,0.3, ,c2,0.1
l1575,tile5,183,tile0,157,0.3, ,c5,0.1
l1576,tile0,157,tile2,181,0.3, ,c0,0.1
l1577,tile2,181,tile5,184,0.3, ,c2,0.1
l1578,tile5,184,tile4,169,0.3, ,c5,0.1
l1579,tile4,169,tile2,182,0.3, ,c4,0.1
l1580,tile2,182,tile5,185,0.3, ,c2,0.1
l1581,tile5,185,tile6,165,0.3, ,c5,0.1
l1582,tile6,165,tile8,171,0.3, ,c6,0.1
l1583,tile8,172,tile7,171,0.3, ,c8,0.1
l1584,tile7,171,tile6,166,0.3, ,c7,0.1
l1585,tile6,166,tile7,172,0.3, ,c6,0.1
l1586,tile7,172,tile1,192,0.3, ,c7,0.1
l1587,tile1,192,tile7,173,0.3, ,c1,0.1
l1588,tile7,173,tile9,186,0.3, ,c7,0.1
l1589,tile9,186,tile0,158,0.3, ,c9,0.1
l1590,tile0,158,tile4,170,0.3, ,c0,0.1
l1591,tile4,170,tile9,187,0.3, ,c4,0.1
l1592,tile9,187,tile4,171,0.3, ,c9,0.1
l1593,tile4,171,tile6,167,0.3, ,c4,0.1
l1594,tile6,167,tile0,159,0.3, ,c6,0.1
l1595,tile0,159,tile1,193,0.3, ,c0,0.1
l1596,tile1,193,tile6,168,0.3, ,c1,0.1
l1597,tile6,168,tile5,186,0.3, ,c6,0.1
l1598,tile5,186,tile3,170,0.3, ,c5,0.1
l1599,tile3,170,tile4,172,0.3, ,c3,0.1
l1600,tile4,172,tile6,169,0.3, ,c4,0.1
l1601,tile6,170,tile8,173,0.3, ,c6,0.1
l1602,tile8,173,tile0,160,0.3, ,c8,0.1
l1603,tile0,160,tile4,173,0.3, ,c0,0.1
l1604,tile4,173,tile9,188,0.3, ,c4,0.1
l1605,tile9,188,tile8,174,0.3, ,c9,0.1
l1606,tile8,175,tile6,171,0.3, ,c8,0.1
l1607,tile6,171,tile2,183,0.3, ,c6,0.1
l1608,tile2,183,tile7,174,0.3, ,c2,0.1
l1609,tile7,174,tile2,184,0.3, ,c7,0.1
l1610,tile2,184,tile3,171,0.3, ,c2,0.1
l1611,tile3,171,tile2,185,0.3, ,c3,0.1
l1612,tile2,185,tile7,175,0.3, ,c2,0.1
l1613,tile7,175,tile9,189,0.3, ,c7,0.1
l1614,tile9,189,tile1,194,0.3, ,c9,0.1
l1615,tile1,194,tile7,176,0.3, ,c1,0.1
l1616,tile7,176,tile8,176,0.3, ,c7,0.1
l1617,tile8,176,tile6,172,0.3, ,c8,0.1
l1618,tile6,172,tile0,161,0.3, ,c6,0.1
l1619,tile0,161,tile8,177,0.3, ,c0,0.1
l1620,tile8,177,tile5,187,0.3, ,c8,0.1
l1621,tile5,187,tile7,177,0.3, ,c5,0.1
l1622,tile7,177,tile8,178,0.3, ,c7,0.1
l1623,tile8,178,tile4,174,0.3, ,c8,0.1
l1624,tile4,174,tile3,172,0.3, ,c4,0.1
l1625,tile3,172,tile8,179,0.3, ,c3,0.1
l1626,tile8,179,tile3,173,0.3, ,c8,0.1
l1627,tile3,173,tile8,180,0.3, ,c3,0.1
l1628,tile8,180,tile2,186,0.3, ,c8,0.1
l1629,tile2,186,tile7,178,0.3, ,c2,0.1
l1630,tile7,178,tile9,190,0.3, ,c7,0.1
l1631,tile9,190,tile6,173,0.3, ,c9,0.1
l1632,tile6,173,tile7,179,0.3, ,c6,0.1
l1633,tile7,179,tile9,191,0.3, ,c7,0.1
l1634,tile9,191,tile7,180,0.3, ,c9,0.1
l1635,tile7,180,tile6,174,0.3, ,c7,0.1
l1636,tile6,175,tile8,181,0.3, ,c6,0.1
l1637,tile8,181,tile1,195,0.3, ,c8,0.1
l1638,tile1,195,tile4,175,0.3, ,c1,0.1
